ICD Chapter Codes,ICD Chapter Names,ICD Block Names,Title,Research Summary,Inclusion Criteria
11,Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",Development of a preference based child-centred measure of dental caries suitable for use in economic evaluation,"Tooth decay (caries) is a common disease worldwide, and can cause children to have toothache, problems sleeping, eating, speaking and having to take time off school. Dental decay is the most common reason for children to be admitted to hospital, and costs the NHS around Â£3.4 billion each year. The NHS has a limited amount of money and demand for services is continually increasing. Decision-makers have to choose which treatments to fund, considering whether they are value for money (cost-effective). This means the costs and benefits are compared. In dentistry, there is no measure that can be used to work out and compare the effectiveness of treatments for children's teeth. This means that decisions about funding of dental services for children with tooth decay are not well informed. A questionnaire that can work out the effectiveness of treatments and is suitable for children to complete themselves is needed. Seeking childrenâs opinions tells us which aspects of tooth decay matter to children most, so that treatment decisions relate to what is actually important to them.  This project intends to adapt a questionnaire called CARIES-QC with children's involvement, to make it suitable to test the benefits of different dental treatments for tooth decay. The questionnaire will be made up of activities, or tasks, for children to complete to see how they would rate different features of tooth decay. This project also aims to find out which type of task is most suitable for children to complete independently, as well as how many tasks children can manage and which age range of children can complete them. I will share the results of this project with everyone involved, the public, other healthcare professionals, and decision makers, and the new measure will be made available from the university website for use in future research.","Stage 1  Inclusion criteria:  â¢ children aged 5- to 16-years;  â¢ children with active dental caries, including if in conjunction with Molar Incisor Hypomineralisation (MIH);  â¢ children who are able to understand spoken English, i.e. able to understand and undertake the research with support;  â¢ children with parents/ caregivers who are able to understand spoken English, i.e. can understand the research with support.    Stage 2  No participants    Stage 3  Inclusion criteria  â¢ Children aged 11- to 16-years  â¢ Children who are able to understand spoken English, i.e. can understand and undertake the research with support    Stage 4  Survey A:  â¢ Children who fit the required age-range as determined in the previous stage of this project  â¢ Children who are able to understand spoken and written English (i.e. can undertake the research without support)    Survey B:  â¢ Adults aged 18 years and over (no upper age limit)  â¢ Adults who are able to understand spoken and written English (i.e. can undertake the research without support)  â¢ Adults who are active panellists for the online survey company"
4,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,Experiences and Practices of Treatment for Alkaptonuria in UK healthcare: A Sociological Study,"Alkaptonuria (also known as Black Bone Disease or Black Urine Disease, and sometimes abbreviated to AKU) is an inherited metabolic disease causing severe and early onset osteoarthritis among other debilitating symptoms. It is an ultra-rare condition, estimated to affect between 1 in 250,000 and 1 in 1,000,000 people. Continuing progress within metabolic medicine and therapeutic advances develops new and improved ways of treating alkaptonuria. Recent developments in the UK in particular have made it more likely that patients with the condition will be offered specialised healthcare based on the latest medical evidence as well as the option to take part in ongoing clinical trials. Although these are significant developments, knowledge about the experiences and practices of treatment for alkaptonuria in UK healthcare remains limited to case reports and anecdotal accounts. At this key juncture, a better understanding of this is needed to inform future progress in clinical practice and service provision. This study aims to advance this evidence base. Conducted over 15 months this sociological study will use qualitative methods including interviews, participant observation and document analysis with 60 participants (patients, carers, healthcare and non-governmental organisation (NGO) staff). The study is expected to help us to identify new approaches to treatment, or ways in which existing approaches could be improved and/or changed. This will provide an important resource that could benefit future service users and providers. In addition, the research aims to uncover results which could be beneficial for the treatment of other medical conditions in UK healthcare, by exploring the extent to which findings can be defined as specific to alkaptonuria, distinct to rare diseases, and shared with more common diseases. The study is sponsored by the University of Cambridge, and is funded by the Economic and Social Research Council (ESRC) and the Royal Liverpool and Broadgreen University Hospitals NHS Trust.","Inclusion criteria for all participants     â¢ Aged 17 years or over.   This lower age limit across sample groups is required as potential participants must be capable of giving consent on their own behalf to participate in this research. In line with HRA guidance, people over 16 can be presumed to have this capability. In addition, 17 is the age from which patients with alkaptonuria can attend the National Alkaptonuria Centre. As a particular focus of this study is researching experiences and practices of treatment at this clinic, this is a suitable criterion for the lower age limit for patient participants.  â¢ Either in, or not in, the process of receiving, providing or supporting treatment at the National Alkaptonuria Centre.   As already outlined, although this study will focus on treatment at the National Alkaptonuria Centre, treatment for alkaptonuria elsewhere in UK healthcare is a principle parallel interest, hence the reason for this criterion.    Additional inclusion criteria for specific sample groups    Inclusion criteria for patients    â¢ Diagnosis of alkaptonuria      Inclusion criteria for key individuals     â¢ Nominated by patient participants as key individuals in their care (e.g. carers - partners, family, friends; healthcare or NGO staff)       Inclusion criteria for healthcare or NGO staff    â¢ Experience of treating patients with alkaptonuria or supporting patients with alkaptonuria with their treatment"
2,Neoplasms,"Malignant neoplasms of eye, brain and other parts of central nervous system",BRAcED: A qualitative study of patient perspectives on factors affecting timely diagnosis of primary brain tumours,"In the UK, nearly 10,000 new brain, other CNS and intracranial tumour cases are diagnosed annually. Despite accounting for â¤2% of all primary cancers, brain cancer is responsible for 7% of cancer deaths before age 70, with an average of >20 years of life lost per patient. NCIN data on routes to diagnosis show that between 2006 and 2013, 61% of within-brain tumours were diagnosed following emergency presentation, with only 1% diagnosed following two-week urgent referral for suspected cancer.  Emergency presentations to specialist care are more likely to include multiple symptoms, and despite a faster time from presentation to surgical intervention and histological diagnosis, are associated with a poorer overall survival. There is thus a need for improving diagnosis of adult brain tumours in primary care. The effectiveness of the Head-Smart campaign in improving diagnosis of paediatric brain tumours through a combined approach, including a detailed understanding of early symptoms, to increase awareness and drive service change has established an important precedent for this rationale.  Little is known about the processes of symptom detection and help-seeking decisions of patients presenting with brain tumour symptoms.   Aim:   This qualitative study aims to improve understanding and ultimately streamline timely diagnosis of brain cancer by exploring the total diagnostic interval (TDI) from the perspective of patients recently diagnosed with a primary brain tumour. Method: The study consists of two stages:  (1) Qualitative in-depth interview study of up to 40 adult patients recently diagnosed with a primary brain tumour to develop a richer understanding of patient experiences, symptoms, and decision-making along the pathway to diagnosis.  (2) Findings arising from analysis of the interviews will be presented at a stakeholder workshop to discuss their implications policy, practice and future research and to validate, refine and optimise recommendations for dissemination and publication.",All patients aged 18 and over and radiologically diagnosed with a primary brain tumour will be eligible for potential inclusion unless their diagnosing clinician indicates they are not suitable or too unwell.
9,Diseases of the circulatory system,Other forms of heart disease,"Validating the accuracy of novel, non-contrast, Cardiac magnetic resOnaNce imaging in defining myocardial FIbRosis in patients with end-stage renal disease on haeModialysis: the CONFIRM study.","Patients on dialysis have abnormally high rates of heart problems which are related to the development of scarring in the heart muscle. Being able to accurately measure this scarring is important in terms of understanding how the disease progresses, being able to measure the response to new treatments and, for example, assessing suitability for transplantation. This study will assess how well a new cardiac MRI technique measures fibrosis in the hearts of dialysis patients by comparing scans directly to heart tissue obtained from patients who have donated their hearts for research following their death.    There are currently no good ways of measuring levels of scarring in the hearts of patients with advanced kidney disease and patients on dialysis, but recent work we have completed in Leicester has shown a new cardiac MRI technique may be able to determine levels of scarring in the hearts of patients on dialysis (native T1 mapping). To assess the accuracy of this technique in dialysis patients, it is essential to undertake a study which compares native T1 mapping to actual levels of scarring in the hearts of patients on dialysis.     With the help of extensive work with our dialysis patient and public involvement group this study plans to approach dialysis patients nearing the end of their lives, identified through the local, Leicester dialysis supportive care register, to discuss the possibility of them undertaking a cardiac MRI scan for measurement of levels of scarring in their hearts using native T1 mapping and then consenting to donate their heart after death to allow direct comparison between the scans we conduct and the levels of scarring in their heart that we find.",1. Prevalent haemodialysis patient (more than 3 months)  2. Active on the supportive care register with anticipated death in the subsequent 12 months  3. Age > 18 years  4. Consent to donation of heart for research following death  5. Able to understand written and verbal explanations in English
11,Diseases of the digestive system,Noninfective enteritis and colitis,PoPSTER: Patient preferences and current Practice for adults with STERoid resistant ulcerative colitis - A mixed methods study,"Ulcerative Colitis (UC) is a lifelong Inflammatory Bowel Disease (IBD) where people develop ulcers in the lining of the colon (also known as the large bowel). UC has many painful symptoms and has a big impact on quality of life. People with this disease may have long periods of remission (good health) but many will have relapses where their symptoms get worse. Steroids are one of the potential treatments for UC, but this is only effective for about half of people with this condition, the other half can be described as âsteroid resistantâ.     A number of other treatments are recommended for use in this country, but the supporting research evidence is limited. For example, there are no direct âhead-to-headâ comparisons and it is often not clear whether the people who took part in these studies were resistant to, or dependent on steroids. To confuse matters, there is no agreed definition of steroid resistance in this patient group.      The aim of the research is to investigate how adults with steroid resistant UC are being managed in secondary care, and how current practice compares with patient and clinician preferences.     We plan to do this by:   1. Conducting a questionnaire study of IBD healthcare professionals from across the UK.   2. Interviewing healthcare professionals to find out about their clinical practice.   3. Interviewing patients about their views on different treatment options and how they make decisions about those.   4. Carrying out a questionnaire study of patients and healthcare professionals to work out their preferences for treatment options.   5. Bringing together healthcare professionals and patients to review the findings from our study, to help develop ideas for future research and treatments.     The outputs of our study can be used to design a large scale randomised controlled trial for steroid resistant UC in the future.","Patient inclusion criteria:     1) Aged 18 years or older;  2) Have the capacity to give fully informed consent;  3) Have ulcerative colitis extending beyond the rectum;  4) Have active disease at the time of participation or have previously had active disease successfully treated with steroids.     Healthcare professional inclusion criteria:    Healthcare professionals that are a member of a medical, nursing or Allied Health Professional staff with a specialist ineterest or expertise in providing care to patients with IBD (particularly ulcerative colitis) within an NHS Trust in the UK. A membership to the IBD section of the BSG and RCN IBD Nurses Network indicates their interest in this clinical area."
2,Neoplasms,Malignant neoplasms of female genital organs,Image guided intensity modulated external beam radiochemotherapy and MRI based adaptive brachytherapy in locally advanced cervical cancer (EMBRACE-II),"The study originates in and is coordinated by a European centre.  The purpose of this application is to allow UK centres to participate.  Cervix cancer is a relatively rare cancer and research in the past has been largely limited to single institution case series.  Recently a European collaborative group endorsed by GEC-ESTRO has collected prospective data regarding current management strategy and outcomes to report the current standard of care and outcomes in Europe.  This is a single arm interventional study following from the previous work. It is for women with cervix cancers too advanced to be treated surgically.  Until recently standard treatment was (conformal) external beam radiotherapy given with concurrent chemotherapy followed by brachytherapy delivered with intrauterine applicators.  Studies have shown that this is an effective treatment in small and medium sized tumours but disease control in larger tumours is  suboptimal resulting in uncontrolled pelvic tumour in 25% of patients with very locally advanced tumours (stage3b).   Treatment using conventional conformal radiotherapy and traditional brachytherapy confers significant long term toxicity (up to 30% experience moderate to severe bowel and urinary toxicity), increased patient reported symptoms and reduction in quality of life.  Control of larger tumours and treatment toxicity can be improved by using newer techniques.  These include image guided brachytherapy  with the use of interstitial implants (IGIBT) , dose optimisation and the use of image guided intensity modulated radiotherapy (IGIMRT). This study aims to optimise these strategies across multiple centres by protocolised implementation of IGIMRT, using data from previous collaboration; to reduce volumes irradiated during IGIMRT by risk stratification; and to optimise IGBT dose prescriptions according to data from previous studies.  It will be open in a number of centres in mainland Europe and, subject to approval, at least 4-8 in the UK. It aims to recruit 1000 patients over 4 years.","Cancer of the uterine cervix considered suitable for curative treatment with definitive radio-(chemo)therapy including MRI guided BT  Positive biopsy showing squamous-cell carcinoma, adenocarcinoma or adeno-squamous cell carcinoma of the uterine cervix.  Able to be staged at diagnosis with MRI of pelvis, and  MRI, and CT or PET-CT of the retroperitoneal space and abdomen   Able to give informed consent"
14,Diseases of the genitourinary system,Noninflammatory disorders of female genital tract,Bariatric surgery vs. Medical care for obesity and polycystic ovarian syndrome related infertility: The BAMBINI randomised-controlled clinical trial,"Polycystic ovarian syndrome (PCOS) affects up to 1 in 5 women and is the most common endocrine disorder in women of reproductive potential. Weight-loss treatments have been shown to be effective in improving the number of periods a woman with PCOS can have and eventually get pregnant. Recent data suggest that bariatric surgery, like the vertical sleeve gastrectomy can be effective in achieving this. However, this has not been proven in a high quality randomised controlled clinical trial. This is what is needed to change national and international guidelines and enable PCOS to become an indication for bariatric surgery    The purpose of this study is to evaluate how effective and safe the sleeve gastrectomy is in the treatment of PCOS, i.e. can it make women start having periods.  We want to assess this effectiveness by comparing the procedure to lifestyle modification conducted in a centre of excellence.","â¢ Pre-menopausal women > = 18 years old  â¢ Body mass index (BMI) > =  35 kg/m2 with obesity related complications  â¢ Diagnosis of PCOS based on International evidence-based guideline for the assessment and management of polycystic ovary syndrome 2018 that requires two of the following:   i.  for women > 3 years post menarche to peri-menopause:  < 21 or > 35 days or < 8 cycles per year hyperandrogenism  a. clinical hirsutism (Modified Ferriman-Galwey hirsutism score > =  4-6) or male pattern alopecia (positive Ludwig visual score)] or  b. biochemical (raised free androgen index or free testosterone)  ii. polycystic ovaries on ultrasound: Using transvaginal ultrasound transducers with a frequency bandwidth that includes 8MHz, the threshold for PCOM should be on either ovary, a follicle number per ovary of > 20 and/or an ovarian volume > =  10ml, ensuring no corpora lutea, cysts or dominant follicles are present."
2,Neoplasms,"Malignant neoplasms of ill-defined, secondary and unspecified sites","DRAGON 1 - training, accreditation, implementation and safety evaluation of Portal and Hepatic Vein Embolization (PVE/HVE) to accelerate Future Liver Remnant (FLR) hypertrophy","Liver resections of liver metastasis from a primary colorectal cancer can only be performed if there is a sufficient future liver remnant (FLR). This is commonly estimated by calculation of the total liver volume and the FLR volume. When preoperatively the estimated FLR is insufficient (traditionally < 30% of the total volume)some strategies are performed in order to promote liver hypertrophy/regeneration (increase of the volume of the FLR). The gold standard technique is portal vein embolization (PVE) that is  the occlusion of the portal vein of one the sides of the liver that is planned to be resected (commonly the right or left sides of the liver). This allows an increased blood flow to the FLR and promotes its hypertrophy.   Based on the same principle, embolization of both portal vein and hepatic veins  (PVE/HVE) on one side of the liver may be superior to PVE alone to enhance liver regeneration, but is a novel procedure and requires a safety and feasibility evaluation.  The current study, DRAGON 1, is designed to assess the ability of each participating centre to recruit 3 patients for the study without 90-day mortality due to complications (i.e. not due to primary tumour disease) within 12 months.  Once this study endpoint is met by one of the participating centres, this centre is offered to participate in the comparative randomized DRAGON 2 trial that will compare PVE vs. PVE/HVE.","â¢ Patients with primarily unresectable/potentially resectable CRLM after conversion chemotherapy with a FLR < 30% in normal livers or 40% in livers chemotherapy damaged livers. We trust the clinical judgement of teams in the participating centers to only include those patients who require regenerative liver surgery and not those that are primarily resectable   â¢ 18 Years and older  â¢ Patients up to ECOG 3 (not more than 50% bedbound)  â¢ Patients with non-resected primary colorectal cancer (CRC) may be included if and only if there is an intent to remove the CRC after the liver treatment (liver first approach)  â¢ Staging CT chest and (if symptomatic) CT/MRI brain needs to exclude unresectable extrahepatic disease, while metastatic disease that may be cured in the future, is included   â¢ Patients with resectable lung metastases or lung metastases that and be ablated can be included only after statement about resectability/ablatability by tumor board   â¢ Patients have to be to understand the trial and provide informed consent."
5,Mental and behavioural disorders,"Schizophrenia, schizotypal and delusional disorders","Exploring how young people who hear voices, and parents of young people who hear voices, make sense of voice-hearing in the family context","This qualitative study will explore how young people aged 12-19 who hear voices, and parents of such young people, have made sense of the experience in the family context.  Around 8% of children and young people are thought to regularly hear voices others donât, yet this remains remarkably under-researched. Making sense of voice-hearing is seen as therapeutically valuable and can aid recovery, while reducing distress, shame and stigma.  While voice-hearing itself is a individual experience, the sense made of it inevitably involves other people. For most young people, sense-making involves the family.  Yet family members may struggle to understand the voice-hearing experience and may be dealing with their own strong negative personal reactions. The study will recruit 2 groups with up to 10 in each group; one group will be young people aged 12-19 who hear voices and have received support from secondary or tertiary services for this. The other group will be parents of such young people. Participants will be involved in an interview lasting up to 60 minutes.  The interview will look at participantsâ views, perceptions and feelings about voice-hearing, and how these may have been explored and influenced by the family. Understanding the lived experience of young people and parents in relation to voice-hearing is a pressing concern for the NHS.  It is hoped that this study will give professionals a better sense of how to positively support young people and their families in making sense of voice-hearing.   It will inform the development of support and services for individuals, families and carers. The research should also contribute to understanding of how young people and their families make sense of unusual experiences more generally, so may be transferable to other young peopleâs and Early Intervention in Psychosis services.","Young people  â¢ Currently hear noises or voices that others donât, at least once per month  â¢ Aged 12-19    â¢ Received support from secondary / tertiary services for hearing voices  â¢ Able to talk about their experiences in an individual interview for around 60 minutes  â¢ Capacity to  consent / assent to the research, and have parental consent if under 16  â¢ Fluent in English     Parents   â¢ Parent of a young person whose voice hearing started between age 12-19 and has received support from secondary or tertiary services  â¢ Able to talk about their experiences in an individual interview for around 60 minutes  â¢ Capacity to consent to the research   â¢ Fluent in English"
9,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries",CardiovASCulAr and bleeDing outcomEs associated with antithrombotic therapy (CASCADE) study,"Harmful blood clotting (thrombosis) plays a major role in many different cardiovascular diseases including heart attacks, deep vein thrombosis and stroke. It is well-established that anti-blood clotting medications are an effective treatment in a variety of clinical settings. However, these medications can cause spontaneous bleeding, which may be severe. It is now recognised that severe bleeding is actually as harmful as a recurrent thrombotic event. Therefore, new cardiovascular treatment strategies have been able to reduce the risk of death in patients by reducing the risk of severe bleeding whilst maintaining the same cardiovascular benefit as existing treatment strategies.    The aim of this study is to identify risk factors for bleeding and recurrent thrombosis in patients that are treated with anti-blood clotting medications. The study will identify which molecular and cellular mechanisms related to blood clotting are the most important in determining whether or not a patient will suffer a spontaneous bleed. It will also determine whether markers of function of the clotting system can be combined with other important parameters (such as clinical details, past medical history, concurrent medications) to predict subsequent spontaneous bleeding. In combination, these findings have the potential to drive the development of new anti-blood clotting treatment strategies that minimise the risk of bleeding. This has the potential to improve patient mortality and reduce the unwanted side effects of these treatments.    This will be an observational, longitudinal study of 1,184 patients treated with antithrombotic therapy and 44 age- and sex-matched controls that are not treated with antithrombotic therapy. We will record clinical details and we will perform a heart tracing and take samples of blood and urine for analysis. Patients will return after 2 years (and 1 month in some patients) so that we can assess whether they have suffered from bleeding or recurrent thrombotic events.",Provide signed and dated informed consent form  Over 18 years of age  Treatment group: Recent treatment with medications that have effects on platelets and/or coagulation (or initiation of such treatments is imminent)  Control group: Age- and sex-matched controls that are not treated with known antithrombotic drugs.
18,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs,Identifying candidate digital measures for the assessment of sleep and fatigue in the home environment,"Sleep disturbances and fatigue have a large impact on physical, mental and social well-being. These symptoms are highly prevalent in many diseases including Rheumatoid Arthritis (RA), Primary SjÃ¶grenâs Syndrome (PSS) and Systemic Lupus Erythematosus (SLE). Current assessments of sleep and fatigue and their impact on health-related quality of life (HRQoL) and activities of daily living (ADL) rely on patient reported outcome measures (PROMs). However, PROMs are prone to recall bias, reliability issues and poor sensitivity to change.    The lack of effective assessment tools for sleep and fatigue is a key barrier to therapeutic development and clinical management of these symptoms. A novel approach is needed that is accurate and can be used in the natural environment of the patients. Mobile digital technologies (devices worn on or near the body) have the potential for measuring and monitoring sleep, fatigue and other functional outcomes relevant for daily living objectively and reliably.    The aim of this feasibility study is to identify candidate digital measurements (or combinations of measurements) that are related to fatigue, sleep disturbances and disabilities in specific ADL. Participants (healthy volunteers, patients with RA, SLE or PSS) will attend the Newcastle upon Tyne Hospitals Trust at the start of the study during which their disease (for patient participants) and their symptoms, HRQoL and ADLs will be assessed using standardised measurement tools. Participants have an option to donate blood, urine, and/or stool sample for biobanking for future research. Participants will then use different digital technologies (in various combinations in order to capture different digital measurements) over a 42-day period (including breaks), during which simple symptom diary will be collected. Participants will also attend an optional end of study visit to provide feedback on their experience of the study. The most promising digital parameters identified will be further evaluated in a subsequent study.","â¢  Age > 18 years, both genders.  â¢  Anticipated availability for using multiple study devices over the period of 42 days, with appropriate breaks within this period.  â¢  Willingness to comply with the study protocol including the use of the digital devices and technologies.  â¢  Previous use of a smartphone for at least 3 months.  â¢  Ability to understand oral and/or written instructions in relation to the study protocol and Informed Content in English or the native language of the country in residence with or without reasonable assistance.  â¢  Willingness to sign the IRB-approved Informed Consent Form (ICF) having had enough time and opportunity to think about his/her participation in the study.  â¢ Ability to walk independently, to sit and stand, socialise, communicate and capable of carrying out the various procedures proposed in the study, according to the opinion of the Investigator.   â¢ MoCA > 15.   â¢ In case of severe illness: availability of one caregiver / family member / friend that will be available to help for various study procedures. (In which case, the supporting care-giver/family members will also sign an ICF.)  â¢  Established diagnosis according to the 2016 ACR/EULAR classification criteria for primary SjÃ¶grenâs syndrome [4].  â¢ Or Established diagnosis according to the 2010 American College of Rheumatology (ACR)/ European League Against Rheumatism (EULAR) classification criteria for rheumatoid arthritis [5].  â¢ Or Established diagnosis according to the Systemic Lupus International Collaborating Clinics (SLICC) group classification criteria [6].  â¢ Or Prevalent healthy conditions according to the PI assessment.  â¢ No neurological, respiratory, cardiac, metabolic or musculoskeletal disorder that seriously affect the daily activities."
